id|estado|cidade|bairro|rua|cep|numero|id_usuario
1|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|524|1
2|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|954|2
3|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|948|3
4|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|455|4
5|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|580|5
6|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|424|6
7|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|740|7
8|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|737|8
9|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|404|9
10|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|898|10
11|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|103|11
12|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|829|12
13|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|183|13
14|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|698|14
15|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|144|15
16|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|790|16
17|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|625|17
18|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|75|18
19|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|388|19
20|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|37|20
21|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|645|21
22|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|471|22
23|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|130|23
24|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|868|24
25|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|892|25
26|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|725|26
27|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|969|27
